TransactionID,Date,AccountNumber,Description,Amount,Type
TX-10001,24/11/2025,610000,Journal Entry - Tx 10001 Line 1,1714.4,Debit
TX-10001,24/11/2025,301000,Journal Entry - Tx 10001 Line 2,-1714.4,Credit
TX-10002,06/05/2025,610000,Journal Entry - Tx 10002 Line 1,3387,Debit
TX-10002,06/05/2025,201000,Journal Entry - Tx 10002 Line 2,-3387,Credit
TX-10003,13/12/2025,601010,Journal Entry - Tx 10003 Line 1,11122.98,Debit
TX-10003,13/12/2025,201000,Journal Entry - Tx 10003 Line 2,-11122.98,Credit
TX-10004,30/10/2025,101000,Journal Entry - Tx 10004 Line 1,6357.73,Debit
TX-10004,30/10/2025,201000,Journal Entry - Tx 10004 Line 2,-6357.73,Credit
TX-10005,22/04/2025,601010,Journal Entry - Tx 10005 Line 1,3528.28,Debit
TX-10005,22/04/2025,201000,Journal Entry - Tx 10005 Line 2,-3528.28,Credit
TX-10006,15/10/2025,610000,Journal Entry - Tx 10006 Line 1,3022.62,Debit
TX-10006,15/10/2025,402000,Journal Entry - Tx 10006 Line 2,-3022.62,Credit
TX-10007,07/10/2025,501000,Journal Entry - Tx 10007 Line 1,6321.82,Debit
TX-10007,07/10/2025,401000,Journal Entry - Tx 10007 Line 2,-6321.82,Credit
TX-10008,23/05/2025,101000,Journal Entry - Tx 10008 Line 1,12150.99,Debit
TX-10008,23/05/2025,210000,Journal Entry - Tx 10008 Line 2,-12150.99,Credit
TX-10009,24/12/2025,110000,Journal Entry - Tx 10009 Line 1,6368.09,Debit
TX-10009,24/12/2025,210000,Journal Entry - Tx 10009 Line 2,-6368.09,Credit
TX-10010,21/04/2025,110000,Journal Entry - Tx 10010 Line 1,14360.34,Debit
TX-10010,21/04/2025,201000,Journal Entry - Tx 10010 Line 2,-14360.34,Credit
TX-10011,17/02/2025,110000,Journal Entry - Tx 10011 Line 1,5729.91,Debit
TX-10011,17/02/2025,301000,Journal Entry - Tx 10011 Line 2,-5729.91,Credit
TX-10012,06/11/2025,101000,Journal Entry - Tx 10012 Line 1,4004.59,Debit
TX-10012,06/11/2025,402000,Journal Entry - Tx 10012 Line 2,-4004.59,Credit
TX-10013,24/08/2025,501000,Journal Entry - Tx 10013 Line 1,8066.61,Debit
TX-10013,24/08/2025,201000,Journal Entry - Tx 10013 Line 2,-8066.61,Credit
TX-10014,10/10/2025,610000,Journal Entry - Tx 10014 Line 1,4433.02,Debit
TX-10014,10/10/2025,401000,Journal Entry - Tx 10014 Line 2,-4433.02,Credit
TX-10015,05/07/2025,610000,Journal Entry - Tx 10015 Line 1,8681.41,Debit
TX-10015,05/07/2025,201000,Journal Entry - Tx 10015 Line 2,-8681.41,Credit
TX-10016,24/01/2025,110000,Journal Entry - Tx 10016 Line 1,9935.89,Debit
TX-10016,24/01/2025,201000,Journal Entry - Tx 10016 Line 2,-9935.89,Credit
TX-10017,30/04/2025,501000,Journal Entry - Tx 10017 Line 1,13003.93,Debit
TX-10017,30/04/2025,301000,Journal Entry - Tx 10017 Line 2,-13003.93,Credit
TX-10018,21/08/2025,110000,Journal Entry - Tx 10018 Line 1,9553.48,Debit
TX-10018,21/08/2025,210000,Journal Entry - Tx 10018 Line 2,-9553.48,Credit
TX-10019,09/07/2025,610000,Journal Entry - Tx 10019 Line 1,5361.3,Debit
TX-10019,09/07/2025,301000,Journal Entry - Tx 10019 Line 2,-5361.3,Credit
TX-10020,26/12/2025,610000,Journal Entry - Tx 10020 Line 1,14052.99,Debit
TX-10020,26/12/2025,201000,Journal Entry - Tx 10020 Line 2,-14052.99,Credit
TX-10021,08/11/2025,601010,Journal Entry - Tx 10021 Line 1,9542.93,Debit
TX-10021,08/11/2025,402000,Journal Entry - Tx 10021 Line 2,-9542.93,Credit
TX-10022,06/05/2025,501000,Journal Entry - Tx 10022 Line 1,2492.87,Debit
TX-10022,06/05/2025,301000,Journal Entry - Tx 10022 Line 2,-2492.87,Credit
TX-10023,24/11/2025,102001,Journal Entry - Tx 10023 Line 1,10338.02,Debit
TX-10023,24/11/2025,402000,Journal Entry - Tx 10023 Line 2,-10338.02,Credit
TX-10024,16/06/2025,101000,Journal Entry - Tx 10024 Line 1,12650.64,Debit
TX-10024,16/06/2025,210000,Journal Entry - Tx 10024 Line 2,-12650.64,Credit
TX-10025,17/01/2025,501000,Journal Entry - Tx 10025 Line 1,12085.43,Debit
TX-10025,17/01/2025,301000,Journal Entry - Tx 10025 Line 2,-12085.43,Credit
TX-10026,03/02/2025,601010,Journal Entry - Tx 10026 Line 1,3204.19,Debit
TX-10026,03/02/2025,402000,Journal Entry - Tx 10026 Line 2,-3204.19,Credit
TX-10027,11/06/2025,501000,Journal Entry - Tx 10027 Line 1,3228.77,Debit
TX-10027,11/06/2025,390000,Journal Entry - Tx 10027 Line 2,-3228.77,Credit
TX-10028,26/11/2025,110000,Journal Entry - Tx 10028 Line 1,6909.84,Debit
TX-10028,26/11/2025,210000,Journal Entry - Tx 10028 Line 2,-6909.84,Credit
TX-10029,07/05/2025,601010,Journal Entry - Tx 10029 Line 1,11187.59,Debit
TX-10029,07/05/2025,301000,Journal Entry - Tx 10029 Line 2,-11187.59,Credit
TX-10030,27/10/2025,601010,Journal Entry - Tx 10030 Line 1,6455.09,Debit
TX-10030,27/10/2025,390000,Journal Entry - Tx 10030 Line 2,-6455.09,Credit
